20MICRONS,20110810,50.75,52.4,49.5,51.65,56043
3IINFOTECH,20110810,32,33,31.8,32.1,846966
3MINDIA,20110810,4257,4490,4257,4435.6,690
A2ZMES,20110810,217.7,223,212,213.95,172726
AANJANEYA,20110810,438.65,473.75,425.25,429.5,1173932
AARTIDRUGS,20110810,120,123.8,119.5,120.8,3746
AARTIIND,20110810,45.5,48.05,45.5,47.55,13825
AARVEEDEN,20110810,41,41,39.15,39.2,6039
ABAN,20110810,395,405.85,394.3,401.95,1044814
ABB,20110810,818.8,825,791.15,797.45,169588
ABBOTINDIA,20110810,1462,1475.05,1431,1451.6,867
ABCIL,20110810,119,126.95,116,116.1,2450
ABGSHIP,20110810,384.05,389.2,371.75,374.2,318824
ABHISHEK,20110810,12,12.8,11.7,12.45,5262
ABIRLANUVO,20110810,887.5,899.7,878.1,890.65,93046
ACC,20110810,1000,1015,1000,1010.65,209526
ACE,20110810,42.35,44.8,42.35,44.25,45789
ACKRUTI,20110810,182,186.8,181,182.1,30901
ACROPETAL,20110810,15.25,15.25,14.6,14.85,119584
ADANIENT,20110810,604,615,575.05,601.95,1252538
ADANIPOWER,20110810,92,95,92,94.05,1784275
ADFFOODS,20110810,63.5,66,63.5,65,26503
ADHUNIK,20110810,70.4,75.8,65,65.4,219518
ADORWELD,20110810,150,170.4,150,161.3,62243
ADSL,20110810,39.9,41,39.25,40.3,126956
ADVANIHOTR,20110810,36.9,36.9,35.5,35.5,111
ADVANTA,20110810,262.9,296.9,262.9,287.9,178594
AEGISCHEM,20110810,203.25,208,203.25,204,5319
AFL,20110810,40.15,46.5,40.15,43.2,26704
AFTEK,20110810,11.8,12.75,11.8,12.55,247345
AGCNET,20110810,136.75,138,130.2,131.25,845
AGRE,20110810,45.2,48.1,45.2,47.9,61172
AGRODUTCH,20110810,9.05,9.65,9,9.25,47070
AHLEAST,20110810,326.5,326.5,307,309.5,362
AHLUCONT,20110810,126,130,125.75,127.55,57748
AHLWEST,20110810,173.1,177,171.9,174.75,5733
AHMEDFORGE,20110810,109,112.5,108.1,111.4,11317
AIAENG,20110810,361,369.9,361,366.3,1631
AJANTPHARM,20110810,309.75,320.9,309.75,319.15,23107
AJMERA,20110810,129,129,121,123.55,19048
AKSHOPTFBR,20110810,6.8,6.95,6.3,6.7,90780
AKZOINDIA,20110810,940,969.75,927,930,4966
ALBK,20110810,199.4,199.4,194.6,196.95,268992
ALCHEM,20110810,228.4,247.85,226.9,232.55,141013
ALEMBICLTD,20110810,18.9,20.25,18.9,19.5,52356
ALFALAVAL,20110810,1533.05,1594,1533.05,1587.1,1895
ALKALI,20110810,44.7,44.7,42.4,43.1,13894
ALKYLAMINE,20110810,85.4,89.25,85,85.65,1735
ALLCARGO,20110810,157.05,161.8,156.1,158.3,1023
ALLSEC,20110810,15.25,17,15.25,16,1965
ALMONDZ,20110810,20.55,22.85,20.5,20.65,1006
ALOKTEXT,20110810,21.2,21.2,20.4,20.7,6742955
ALPA,20110810,9.2,10,9,9.25,7900
ALPSINDUS,20110810,2.75,3.05,2.75,2.9,17012
AMAR,20110810,89.5,93.4,89.5,92,51199
AMARAJABAT,20110810,233,244.8,233,242.35,249379
AMARJOTHI,20110810,50.8,53.95,50.8,53.15,306
AMBIKCO,20110810,192,195.05,183.7,192.3,25086
AMBUJACEM,20110810,129.05,131.9,127.95,128.85,965346
AMDIND,20110810,20,20.75,19.55,20.15,15053
AMLSTEEL,20110810,13.05,14.95,13.05,14.35,1003
AMRUTANJAN,20110810,837,854.7,822,826.1,217415
AMTEKAUTO,20110810,152,154,149.15,151.05,600779
AMTEKINDIA,20110810,108.2,114.65,108.2,111.75,275825
ANANTRAJ,20110810,68.5,68.6,65.65,66.75,546126
ANDHRABANK,20110810,134,135.85,134,134.9,408927
ANDHRACEMT,20110810,9.35,10.25,9.35,9.85,19694
ANDHRSUGAR,20110810,106,108.75,104.05,105.4,22951
ANGIND,20110810,21.15,24,21.15,22,1881
ANIKINDS,20110810,35.5,36,34.85,35.05,708
ANKURDRUGS,20110810,31.7,32,30.35,30.5,34627
ANSALAPI,20110810,33.1,34,32.3,32.6,138179
ANSALHSG,20110810,37.5,39.5,37.5,38.55,3689
ANTGRAPHIC,20110810,0.25,0.3,0.25,0.3,123000
APARINDS,20110810,175.1,180,173,178.2,3555
APCOTEXIND,20110810,168.2,170.95,165,165.2,892
APIL,20110810,574.35,608.85,540.1,550.95,102986
APOLLOHOSP,20110810,520,531.3,510.4,519.8,140329
APOLLOTYRE,20110810,70,71.4,69.55,70.9,3606579
APPAPER,20110810,375,375,359.15,362.3,228084
