20MICRONS,20110830,56.45,56.45,53.5,54.35,81820
3IINFOTECH,20110830,27.1,28.6,26.85,27.1,1082570
3MINDIA,20110830,4531,4700,4531,4602.6,977
A2ZMES,20110830,180.95,183.5,178.05,179.6,75132
AANJANEYA,20110830,425.25,434.8,418,423.6,182589
AARTIDRUGS,20110830,116,116,111.25,112.95,3084
AARTIIND,20110830,44.75,46.2,44.4,45.75,47103
AARVEEDEN,20110830,33,34.85,32,34.85,156
ABAN,20110830,365.95,382.7,365,376.65,844439
ABB,20110830,825,844.9,821,836.1,57909
ABBOTINDIA,20110830,1483,1484,1449,1480.2,1759
ABCIL,20110830,101.6,102.5,98.6,100.45,3708
ABGSHIP,20110830,376.05,379.6,366,369.5,422610
ABHISHEK,20110830,10.9,10.9,10.3,10.4,1065
ABIRLANUVO,20110830,890,925.5,890,917.2,195589
ACC,20110830,1014.75,1014.75,993.5,1002.8,266548
ACE,20110830,44.5,45,44.1,44.75,62867
ACKRUTI,20110830,188.3,200,186.55,198.35,19971
ACROPETAL,20110830,15,15.05,14.65,14.75,39109
ADANIENT,20110830,547.75,551.6,525.2,529.45,777767
ADANIPOWER,20110830,90.9,93.35,89.5,91.55,442352
ADFFOODS,20110830,55.1,55.95,53.25,55.35,1381
ADHUNIK,20110830,55.5,57.3,55.4,56.75,96695
ADORWELD,20110830,160.8,160.8,151.9,154.25,8258
ADSL,20110830,24.9,25,23.6,23.7,156626
ADVANIHOTR,20110830,35.25,36.9,35.15,35.9,1602
ADVANTA,20110830,350.95,364.45,350,356.75,335393
AEGISCHEM,20110830,192.4,194,187,188.35,9750
AFL,20110830,38,38,37.35,37.95,13182
AFTEK,20110830,11.35,11.7,11.3,11.35,140272
AGCNET,20110830,118.7,118.7,112.3,114.65,1242
AGRE,20110830,40.65,42.45,40.65,41.5,1588
AGRODUTCH,20110830,7.3,8.15,7.3,7.6,32503
AHLEAST,20110830,290.15,298.7,290.1,292.35,1607
AHLUCONT,20110830,117.9,123,112.5,113.95,1598
AHLWEST,20110830,157,157,151.25,153,796
AHMEDFORGE,20110830,107.05,108.7,105.15,105.95,14827
AIAENG,20110830,326,340,323.4,324.9,41045
AJANTPHARM,20110830,306.9,318.5,301,316.1,54821
AJMERA,20110830,119,120.95,116.35,117.2,24855
AKSHOPTFBR,20110830,6.55,6.7,6.35,6.5,88842
AKZOINDIA,20110830,940,940,925.05,929.8,6917
ALBK,20110830,174.15,180.4,174,179.1,535399
ALCHEM,20110830,248.25,257.9,248.1,255.1,172212
ALEMBICLTD,20110830,18.55,18.9,18.5,18.65,23954
ALFALAVAL,20110830,1689.9,1728.9,1660,1692.95,3253
ALKALI,20110830,38.7,40.8,38.7,40.1,9214
ALKYLAMINE,20110830,85.1,89.75,82.1,86.1,4372
ALLCARGO,20110830,150.05,151,148.3,149.15,27335
ALLSEC,20110830,15.25,15.25,14.75,15,1606
ALMONDZ,20110830,23.45,23.45,22.05,22.15,358
ALOKTEXT,20110830,17.5,17.95,17.3,17.7,5391170
ALPA,20110830,8,8.7,8,8.15,3367
ALPSINDUS,20110830,2.5,2.6,2.45,2.5,15279
AMAR,20110830,97.25,100,96.7,97.45,59275
AMARAJABAT,20110830,237.5,243.3,235.1,241.35,39580
AMARJOTHI,20110830,55.25,55.25,53.25,55.2,4
AMBIKCO,20110830,185,185,176.4,177.05,1276
AMBUJACEM,20110830,133.6,135.4,132.05,133.05,1887955
AMDIND,20110830,19.95,20.05,19.35,19.6,7190
AMLSTEEL,20110830,13.5,13.5,12.2,12.7,874
AMRUTANJAN,20110830,799,806.7,776,782.8,159814
AMTEKAUTO,20110830,133.85,134.9,131.2,133.7,356771
AMTEKINDIA,20110830,118,118.8,111.45,112.15,683200
ANANTRAJ,20110830,66.2,66.4,64,65.3,204457
ANDHRABANK,20110830,128.45,131.9,127.05,130.2,479698
ANDHRSUGAR,20110830,104.05,105.9,104.05,105.4,7848
ANGIND,20110830,23.4,23.4,20.55,20.95,824
ANIKINDS,20110830,37.4,37.4,34.05,34.55,1530
ANKURDRUGS,20110830,25.3,26.55,25.3,26.25,22859
ANSALAPI,20110830,27.45,28.5,27.05,27.2,216664
ANSALHSG,20110830,39,39.5,37.15,38.85,6181
APARINDS,20110830,162.4,168.95,157.25,166.9,33889
APCOTEXIND,20110830,158,167.8,158,165,291
APIL,20110830,526.8,528.7,510.6,519.45,41899
APOLLOHOSP,20110830,539,539,525,534.25,22672
APOLLOTYRE,20110830,56.5,59.9,55.25,59.15,6450955
APPAPER,20110830,356,364.65,356,360,14623
APTECHT,20110830,123.65,124.95,116.75,120.3,912304
AQUA,20110830,15,15,14.1,14.5,14930
ARCHIDPLY,20110830,11.95,11.95,9.9,10.15,16181
ARCHIES,20110830,37.65,37.65,36.75,36.95,16293
AREVAT&D,20110830,214,217.85,210.05,216,44823
ARIES,20110830,86.5,88.95,85.65,86.4,5836
ARIHANT,20110830,48.75,51.2,48.75,50,360
ARL,20110830,2.05,2.1,2,2.05,111618
AROGRANITE,20110830,37.1,37.1,37.1,37.1,100
ARROWTEX,20110830,9.1,9.6,9.1,9.5,410
ARSHIYA,20110830,137.9,146.75,129,130.35,54697
ARSSINFRA,20110830,291.8,294.95,288,291.5,204257
ARVIND,20110830,77.25,79,76.75,78.55,1795713
ASAHIINDIA,20110830,66.3,68.45,65.35,67.9,24792
ASAHISONG,20110830,95.95,95.95,93,94.9,300
ASAL,20110830,54.7,54.7,50.25,52.95,3496
ASHAPURMIN,20110830,16.6,17.6,16.6,17.3,13761
ASHCONIUL,20110830,1.9,2,1.9,2,690
ASHIANA,20110830,127,140,127,139.35,2413
ASHOKA,20110830,269,290.05,259.95,282.05,50624
ASHOKLEY,20110830,25.1,25.8,24.6,24.85,3440937
ASIANHOTNR,20110830,176,190,176,178.15,742
ASIANPAINT,20110830,3318.9,3324.9,3251,3286.05,38886
ASIANTILES,20110830,43,43,39.25,39.9,7798
ASIL,20110830,2.65,2.65,2.65,2.65,50
ASSAMCO,20110830,11.65,11.95,11.4,11.55,156375
ASTEC,20110830,33.25,34.4,33.2,34,2671
ASTERSILI,20110830,15.85,16.35,15.85,16.2,10476
ASTRAL,20110830,183,190,182,188.45,9431
ASTRAMICRO,20110830,25,25,24,24.1,28821
ASTRAZEN,20110830,1274.9,1284,1262,1283.6,36
ATFL,20110830,378.95,379.05,367.5,368.8,7031
ATLANTA,20110830,70.9,72.15,69.4,69.8,187423
ATNINTER,20110830,0.9,1,0.85,0.85,7642
ATUL,20110830,196,202.3,193,199.05,42055
AURIONPRO,20110830,155,155,126.3,132.5,173
AUROPHARMA,20110830,130,130.5,124.1,125.7,1116749
AUSTRAL,20110830,1.9,1.9,1.8,1.85,454628
AUTOIND,20110830,120.5,121,116.6,118.05,23737
AUTOLITIND,20110830,18.65,19.75,18.65,19.05,4891
AVANTI,20110830,53.15,56.6,52.1,56.6,3073
AVENTIS,20110830,2170,2193.95,2147.05,2186.85,14232
AVTNPL,20110830,319,335.9,319,335.9,1314
AXISBANK,20110830,1060,1080,1054.95,1072.75,1885385
AXISGOLD,20110830,2660,2660,2621,2647.8,1093
BAGFILMS,20110830,5.6,5.7,5.3,5.5,138668
BAJAJ-AUTO,20110830,1589,1590,1548.4,1573.55,643577
BAJAJCORP,20110830,116.4,121.75,113.2,119.25,31857
BAJAJELEC,20110830,176.5,203.85,176,194.6,766530
BAJAJFINSV,20110830,590.55,621.9,530,537,2830167
BAJAJHIND,20110830,55,55.5,52.8,54.65,913348
BAJAJHLDNG,20110830,757,768,748.1,749.95,151884
BAJFINANCE,20110830,616,630,594,615.25,47461
BALAJITELE,20110830,28.15,28.9,27.5,28.1,71754
BALAMINES,20110830,35.95,35.95,33.85,34.3,4266
BALKRISIND,20110830,178,190,168,170.55,12474
BALLARPUR,20110830,27,27.6,26.75,27,237883
BALMLAWRIE,20110830,640.75,640.75,626,636.65,6326
BALPHARMA,20110830,22.9,23,22.5,22.65,2353
BALRAMCHIN,20110830,54.95,55.25,53.85,54.4,884203
BANARISUG,20110830,554,624.9,543.05,620.1,2127
BANCOINDIA,20110830,76.05,80,74.75,77.85,19006
BANKBARODA,20110830,732,742,721.35,736.3,284226
BANKBEES,20110830,965,970.1,953.8,959.18,920
BANKINDIA,20110830,318,319,306.15,309.1,493084
BANSWRAS,20110830,96.55,98.45,88.6,94.9,11976
BARTRONICS,20110830,48.2,49.65,48.2,49.2,70819
BASF,20110830,596,603.8,592.05,595.3,3622
BASML,20110830,71.95,71.95,65.05,66.45,967
BATAINDIA,20110830,711,713.25,686.55,694.2,1028147
BATLIBOI,20110830,16.1,17.85,16.1,17.8,1238
BAYERCROP,20110830,795.3,814.35,790.5,807.25,2485
BBL,20110830,722.9,731,721,723.05,1524
BBTC,20110830,421,424,416.5,420.8,1866
BEARDSELL,20110830,45.5,45.5,45.5,45.5,50
BEDMUTHA,20110830,124.25,128,122.5,123.45,29635
BEL,20110830,1560.05,1588.5,1532,1541.6,20739
BELLCERATL,20110830,12.4,13.9,12.4,13.9,207
BEML,20110830,454,469,452.9,463.4,47682
BEPL,20110830,31.5,32,30.8,31.3,22950
BERGEPAINT,20110830,100.5,102,99.75,100.4,75665
BFINVEST,20110830,44.5,47.4,42.15,44.1,4206
